code,village,area,city,201605,201604,201603,201602,201601,201512,201511,201510,201509,201508,201507,201506,201505,201504,201503,201502,201501,201412,201411,201410,201409,201408,201407,201406,201405,201404
65000230-010,下罟里,八里區,新北市,540184,0,527831,1633,507150,0,605621,0,790456,0,662459,0,518741,0,517418,0,497609,40,697084,0,856278,0,605559,0,524849,0
65000230-003,大崁里,八里區,新北市,33357,1240148,22455,1085429,20820,1162591,32580,1583330,49048,1927648,61623,1211353,31298,1131728,22165,1120931,20088,1125655,30792,1816338,51622,1730873,41148,1194400,2704,1114325
65000230-002,米倉里,八里區,新北市,14091,1391139,13138,1176903,13579,1191537,13956,1644187,15869,2049007,17967,1303631,14648,1297802,13524,1241744,3476,1149171,2052,1847378,2495,1886106,1972,1325162,3351,1171798
65000230-009,長坑里,八里區,新北市,598318,4746,601938,7036,539011,7872,628513,8418,760118,9311,707013,7104,567385,5078,580203,7848,553141,8825,707218,9002,850357,9567,619300,8317,544886,5808
65000230-008,荖阡里,八里區,新北市,717169,1,680325,1,648369,1,753221,1,910943,1,893477,1,640987,1,591776,1,626345,1,789031,1,1041550,1,754642,62,618328,1
65000230-007,訊塘里,八里區,新北市,1291525,2365,1302986,2003,1144214,2903,1360065,3691,1915423,3642,1805691,359,1176550,283,1166183,288,1165131,67,1519984,237,2195951,4309,1586795,522,1170847,376
65000230-004,埤頭里,八里區,新北市,13273,1063578,9027,920757,9102,989241,14881,1343411,13139,1669088,14047,1038167,9238,982572,8028,982620,8560,968648,9883,1589182,14754,1537505,11202,1033112,8941,1002104
65000230-005,頂罟里,八里區,新北市,347748,238876,324253,210296,317314,210057,344790,299836,432521,368459,478647,231187,329592,209360,290917,210813,341897,202674,360716,331675,530686,332435,415543,222727,320358,198373
65000230-001,龍源里,八里區,新北市,1959,2476972,1,2706317,290,2288970,1,3222521,1,4421400,1,2847224,1,2512220,1,2564618,1,2293892,1,3804110,1,4353741,1,2752671,1,2317204
65000230-006,舊城里,八里區,新北市,1920781,31191,1892655,26305,1691274,21571,2005880,32252,2838535,40235,2903824,31322,1799662,36823,1748135,32373,1785724,32478,2128414,40223,3423356,44416,2506148,36706,1755037,33796
65000210-001,八賢里,三芝區,新北市,63904,1,68249,1,61763,1,64491,1,79174,1,78717,1,64395,1,64788,1,65438,1,66743,1,89672,1,77318,1,62962,1
65000210-003,古庄里,三芝區,新北市,401181,1,417410,1,366063,1,375788,1,479075,1,466034,1,358590,1,358963,1,360357,240,364579,1,532382,1,422931,302,335773,1
65000210-009,後厝里,三芝區,新北市,7983,946925,7084,1068056,6481,833393,3739,1021068,4352,1318447,4426,904577,3824,922863,3964,912539,3827,791814,4224,1096275,6014,1292940,4481,905421,3231,795189
65000210-006,茂長里,三芝區,新北市,98994,158627,80647,181228,80402,135426,87876,163810,103889,199602,105869,155425,87912,170678,76436,153273,76574,126522,88896,163200,119577,178605,102043,137384,82803,120187
65000210-005,埔坪里,三芝區,新北市,851770,1280072,864349,1439120,777906,1174984,842508,1466523,1088923,1947567,1065816,1379600,814092,1319254,817527,1298294,793975,1183128,898652,1615014,1231390,1919822,937396,1320603,768446,1166197
65000210-002,埔頭里,三芝區,新北市,1637044,12998,1637672,9970,1512747,12224,1588883,9894,2044364,9701,2059211,7088,1506764,6801,1494169,5965,1519377,6163,1626519,7667,2387936,7561,1787432,5782,1454768,5263
65000210-011,圓山里,三芝區,新北市,95912,55384,96240,65071,85691,53775,87501,61667,95872,59665,98045,52782,94313,60016,85083,62892,88838,52361,87174,60944,96711,66078,79672,58246,82077,57242
65000210-004,新庄里,三芝區,新北市,75121,179802,75436,199048,67313,175743,69183,222474,85039,268577,83677,186743,69120,188446,63893,177431,63730,161375,62209,230122,88365,242579,73226,176739,60568,155952
65000210-010,福德里,三芝區,新北市,263230,30297,298127,22874,250662,22237,245740,30640,288263,24251,297582,21682,246231,25309,268791,23639,260028,22677,236517,31868,315466,36115,269586,25082,234432,25129
65000210-007,橫山里,三芝區,新北市,143179,4203,146399,4573,139209,3912,146111,4740,154759,5356,163753,4286,143599,4113,138313,3836,132674,3888,135102,4702,164808,5182,142743,4617,128810,3594
65000210-013,興華里,三芝區,新北市,13311,509935,11049,453845,11693,399075,12602,484522,13805,526819,15120,430046,14454,476857,12944,497048,14160,400634,13526,497660,17557,508682,13756,446605,11734,429065
65000210-008,錫板里,三芝區,新北市,6968,93090,7021,102229,5996,87232,6826,107925,11103,140445,6659,101003,4384,95705,4524,88200,4327,83294,4721,115368,7157,131527,5899,98538,3972,80729
65000020-002,二重里,三重區,新北市,7552,309285,6252,269838,7390,290620,9103,434587,11588,564366,9614,351822,7453,307710,6222,288279,6665,306523,9714,489575,11761,529801,10088,351755,7738,283395
65000020-019,三民里,三重區,新北市,7852,829091,7381,901805,8948,869294,10587,1295054,12117,1757635,11188,1035370,8262,880198,2409,860300,1868,830599,3746,1536696,4896,1687139,2598,1006553,1362,827543
65000020-072,三安里,三重區,新北市,944759,24893,914012,23354,867037,26423,1144814,29238,1605571,33487,1249492,27199,896470,23313,882383,22615,845559,21676,1388980,27619,1704774,25693,1117026,17360,860242,16984
65000020-028,大同里,三重區,新北市,215098,702715,194270,637830,186648,760499,227558,1054835,319540,1311009,334341,752654,202487,658269,180007,653994,192245,722974,241499,1263410,395210,1183152,289065,741208,197587,695733
65000020-031,大安里,三重區,新北市,2995,406931,2222,354967,2649,453261,3945,589201,5607,765951,6334,433720,2772,387837,2170,375960,2760,424824,4529,760929,7955,698468,6161,421138,2817,403242
65000020-001,大有里,三重區,新北市,14121,1455158,8641,1384638,9841,1364106,10601,2040143,12081,2701085,13201,1662179,12041,1433501,10521,1371012,9521,1366022,11481,2415272,12921,2491552,11601,1636239,10961,1312073
65000020-042,大園里,三重區,新北市,690180,1,617234,1,606320,1,737849,1,1078073,1,1108520,1,645824,1,579794,1,624897,1,807678,1,1291802,1,923985,1,647407,1